B3:AGE,I3:???,I6.1:GN,I6.2:FT,I6.3:PPN,I6.4:H&L,I6.5:OTHERS,I7.1:LIFE_J,I7.2:LIFE_B,I7.3:F_LIGHT,I7.4:CP,I7.5:OTHERS,I8.1:BAD_W,I8.2:FISH_R,I8.3:BOAT_P,I8.4:FISH_COMP,I8.5:OTHERS,Y_BOAT-RE,J4: REASON-NO,J5.1,J5.2,J5.3,J5.4,J5.5,J5.6,J5.7,J6.1,J6.2,J6.3,J6.4,J6.5,J6.6,J7.1,J7.2,J7.3,J7.4,J7.5,Cluster
33,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2017.0,0.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3
57,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2017.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
45,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2017.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2017.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
38,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2017.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3
35,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,2016.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3
32,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2017.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3
54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2016.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
36,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,2017.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3
47,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,2016.0,0.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,3
43,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,2017.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3
37,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2017.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
26,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2017.0,1.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3
52,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2017.0,1.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,3
48,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2017.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3
61,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2017.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
46,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2017.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3
33,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3
33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2017.0,0.0,4.0,5.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,3
40,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,2017.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,3
59,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2017.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3
